"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EPS8L3",14.8706275550668,1.21699239863746,0.389176935698609,3.12709281307446,0.00176544184101064,0.0206199604230777
"CHI3L2",58.809425849456,-2.4224234095443,0.637653259400229,-3.79896656032592,0.000145300693201388,0.00407252975456676
"WDR77",311.067811298011,-0.330153421970254,0.0951756997064656,-3.46888358045689,0.000522625872722891,0.00926328648826191
"OVGP1",99.7450468676589,-0.479531146758315,0.162131404195869,-2.95766973176276,0.00309974042812796,0.0296307073438416
"ATP5F1",577.769244992748,-0.524874610602544,0.132895589688752,-3.94952617940013,7.83060465547559e-05,0.00278272088328429
"LOC100996251",58.8860316184004,0.684464973730556,0.176484516088551,3.87832875597497,0.000105176522237971,0.00334538999144082
"HIPK1",2562.85084288093,0.298586819375472,0.105484487700419,2.83062302225398,0.00464574412499695,0.0379673717423857
"BCAS2",218.288753097835,-0.642548200860804,0.154610066347087,-4.15592733411248,3.23970788961644e-05,0.0016045947266284
"NRAS",346.625613673814,-0.446738147818349,0.152941889980898,-2.92096657020615,0.00348947268038152,0.0319201611157829
"LOC102723769",6.41752864630509,1.1986427637955,0.383974097153136,3.12167610441039,0.00179824660958767,0.0208508220102922
"PFN1P2",21.1415582307653,0.701508242541626,0.242951601372465,2.88744029090039,0.00388390314691292,0.0342516354068654
"ITGA10",133.712551970613,1.06180241015381,0.230235749774035,4.61180512234056,3.99187154891534e-06,0.000405656033914391
"PEX11B",345.53646571181,-0.451960657525001,0.155650103238816,-2.90369648410416,0.00368785484924118,0.0330839192524669
"LOC728989",58.0430356922431,0.566916553823206,0.165900980505379,3.41719833177734,0.000632691692940238,0.0105179686135099
"MIR5087",5.54453362749379,0.965614028556469,0.304164147234683,3.17464775955804,0.00150018489049168,0.0186356153984995
"NBPF15",74.5595560551429,0.52792828217812,0.152358765928649,3.46503385584885,0.000530164732669688,0.00933014595255999
"SV2A",3872.1941584859,-0.661147814846435,0.233282290028077,-2.83411061665616,0.00459534222862483,0.0377083052551861
"SF3B4",235.720143794424,-0.296403135795787,0.109311008752354,-2.71155795906425,0.00669678323168705,0.0477350563018383
"HIST2H2BC",10.2037600405685,1.20470977592302,0.358059200264546,3.36455473014781,0.000766672770333425,0.0121054881409778
"ANP32E",829.942676768983,-0.311894263768014,0.112348192211777,-2.77613958558489,0.0055008586191121,0.042054403702286
"MRPS21",528.361556042644,-0.469733721928903,0.13945987732926,-3.36823558807438,0.000756509223967765,0.0119933676172174
"PSMB4",751.457503680495,-0.599866571709855,0.15224610496308,-3.9401111237317,8.14438740698108e-05,0.00281656511093782
"CGN",268.343972146264,0.731113116087919,0.232607509195691,3.14311914785537,0.00167157783905272,0.0199006616944769
"RIIAD1",13.7008235858422,-0.950489717177894,0.292771760197186,-3.24652116904214,0.00116824759533142,0.0159127235424918
"S100A4",34.7640222734997,1.38527405268198,0.322244199809438,4.29883316286586,1.71699655002057e-05,0.00109874079195103
"S100A16",380.241723081539,-0.507784569204281,0.154624115553436,-3.28399336278692,0.00102347332686598,0.0146228413798021
"ILF2",641.552451576914,-0.416459573219913,0.139685947417934,-2.98139920957035,0.00286934480734504,0.0283162035370265
"JTB",638.280913302968,0.290155228181195,0.103921046100091,2.79207378168357,0.00523714128341097,0.0407169551305204
"UBAP2L",1849.07615670682,-0.300913045196347,0.0995626698671379,-3.02234809088489,0.00250821938723062,0.025940630619803
"HAX1",378.131753103643,-0.321908349302668,0.108016239054207,-2.9801847585262,0.0028807457511742,0.0283851505596115
"EFNA4",13.5550017614574,0.731703513316365,0.24941809267251,2.93364248549965,0.00335009847230929,0.0311376882398128
"FDPS",471.863454096034,-0.41527230615554,0.127821788083799,-3.24883818620414,0.0011587737481866,0.0158469707343449
"GBA",371.369700388329,-0.475906411922996,0.118545981224816,-4.01453011739357,5.95643380277443e-05,0.00235594196079398
"POU5F1P4",22.9160139191194,0.823840798902606,0.252352198392923,3.26464680771218,0.00109600649038626,0.0152946933897846
"DAP3",445.391864672236,-0.273296957490199,0.0775161522865306,-3.52567754498423,0.000422400935448163,0.00800985352807732
"SSR2",435.661169126116,-0.233247354281315,0.083040622870744,-2.80883435381228,0.00497212222202957,0.0394583796362587
"SLC25A44",843.062443745013,-0.384186500490405,0.0984814263354296,-3.90110617591848,9.57541389770402e-05,0.00315193358466616
"TSACC",10.603028862393,0.85648333195907,0.26290664376132,3.25774700747628,0.00112300476239174,0.0155292828831505
"MRPL24",282.576832400664,-0.427902103610755,0.118366520756948,-3.61506024570412,0.00030027778398967,0.00645369258952201
"VSIG8",37.4378891945792,0.651794902453744,0.221605552523865,2.94123903950264,0.00326902158940353,0.0307446282940771
"DCAF8",1973.9964834008,-0.330604668754068,0.111694564280747,-2.95989935484313,0.00307739559544136,0.0294739831412596
"PEX19",940.476943395824,-0.316799402741981,0.0921167832941994,-3.43910622378332,0.000583638177495928,0.00997875248081045
"KLHDC9",117.791751744376,-0.580198053226206,0.167728660016939,-3.45914677412679,0.00054188952412799,0.00946920882726653
"USF1",502.315412547102,-0.207927918987162,0.0772171217467377,-2.69276961227769,0.00708612162621929,0.049505057594853
"NIT1",269.305708500733,-0.291184162263348,0.083559198435134,-3.48476490579779,0.000492569612907145,0.00882527979147195
"USP21",430.330200591919,0.371848163407605,0.105478646469648,3.5253406812971,0.000422938492601555,0.00801237970305201
"NR1I3",63.3055820697206,0.522070198169237,0.14051624188412,3.71537262290132,0.000202904460332262,0.00500493149050008
"FCGR3B",22.5699356535606,1.66520890303012,0.508899853998627,3.27217406321875,0.00106723848348264,0.0150522404189979
"C1orf111",31.6736376210649,1.02796090453708,0.230278916874264,4.46398184640744,8.04503836044219e-06,0.000650695837349071
"C1orf226",127.337176238396,0.73738359719285,0.138310172230815,5.33137646566073,9.74711168142002e-08,4.04615115565717e-05
"RGS4",2227.31469969293,-1.43821952810009,0.423107291541205,-3.39918398206102,0.000675872349360832,0.0110595264037442
"LOC100505795",37.2166802286813,0.658253241468493,0.203945477962438,3.22759419843439,0.00124835931017027,0.0165806219131616
