"","logFC","logCPM","LR","PValue","FDR"
"CERS1",-0.689933051125997,5.40860486390025,19.6584033820268,9.25951976974523e-06,0.000931404283031835
"MCM4",0.674900266923945,5.10985842509343,19.6309482264392,9.3935269828488e-06,0.000935191157507288
"KIF1BP",0.586089970556538,5.78531031464436,19.622631602265,9.43450298404418e-06,0.000935191157507288
"TCTE3",-0.626372177977585,1.59517713958878,19.6217720822978,9.43874805719912e-06,0.000935191157507288
"SELE",2.26105520772797,1.52626531352077,19.5935380457632,9.57926413296448e-06,0.000944391532630965
"C1orf111",-1.01731254582396,1.25205250753816,19.5563637611034,9.76748280467978e-06,0.000957148195025179
"GSTA4",0.670557417806097,4.56925155327239,19.5489887612367,9.80526259538309e-06,0.000957148195025179
"CXCL11",4.0462064405299,1.0297081734256,19.4635266544593,1.02539081081088e-05,0.000996036485638645
"NAT16",1.54367424342633,0.909437925395626,19.3948629780226,1.06292589227022e-05,0.00102746046249887
"KPTN",-0.666587067496706,3.26404788065937,19.2992823609257,1.11748342794029e-05,0.00107495396155654
"SSBP3-AS1",-0.87425359479898,2.81017951028779,19.2857127085306,1.12545369506748e-05,0.00107739084161629
"CTBP2",-0.483592101526512,5.47436489186856,19.2214253718126,1.16399631843461e-05,0.00110610422655831
"LOC101927354",-1.28321741245072,-0.044315261575681,19.2171407231259,1.16661174480565e-05,0.00110610422655831
"UBLCP1",0.794656069080317,4.26525274659027,19.2057300726871,1.17360583169448e-05,0.0011074368171837
"SRRM5",-1.14187644877745,1.59718580477742,19.192772496182,1.18159916828927e-05,0.00110914219607031
"ATP5B",0.755989371668385,7.97056681151888,19.1846985041922,1.18660751699084e-05,0.00110914219607031
"RXRA",-0.635243358484734,7.29738961276177,19.1435682592346,1.21245371068088e-05,0.00112798040989917
"TARBP1",0.732194258224399,6.11031467387533,19.1294157215643,1.2214772682288e-05,0.00113075695684687
"TPH1",1.39930562495992,-0.699267158603107,19.1210377414767,1.22685075556155e-05,0.00113075695684687
"SLC47A2",-0.991183510108265,2.17290302531655,19.0967221838987,1.2425811313421e-05,0.00113995313419792
"KRTCAP3",-0.931739312214134,1.22263794627752,19.0764194784862,1.255870547608e-05,0.00114426284804928
